0,Willis,Connie,1945,NULL
1,Christie,Agatha,1890,1976
2,Morrison,Toni,1931,NULL
3,Lewis,Sinclair,1885,NULL
4,Austen,Jane,1775,1817
5,Gaiman,Neil,1960,NULL
6,Pratchett,Terry,1948,2015
7,Brontë,Charlotte,1816,1855
8,Wodehouse,Pelham Grenville,1881,1975
9,Márquez,Gabriel García,1927,2014
10,Lewis,Sinclair,1885,1951
11,Rushdie,Salman,1947,NULL
12,Bujold,Lois McMaster,1949,NULL
13,Melville,Herman,1819,1891
14,Brontë,Ann,1820,1849
15,Brontë,Emily,1818,1848
